DATE,Price
2022/8/22,1581.305953
2022/8/23,1624.863026
2022/8/24,1650.551357
2022/8/25,1696.507917
2022/8/26,1629.669583
2022/8/27,1492.312917
2022/8/28,1486.78125
2022/8/29,1485.520417
2022/8/30,1554.798333
2022/8/31,1577.539583
2022/9/1,1557.77125
2022/9/2,1593.76875
2022/9/3,1557.230833
2022/9/4,1559.592083
2022/9/5,1580.457083
2022/9/6,1633.964583
2022/9/7,1546.650833
2022/9/8,1630.315833
2022/9/9,1697.855
2022/9/10,1730.459583
2022/9/11,1765.440833
2022/9/12,1732.045417
2022/9/13,1662.403666
2022/9/14,1599.369167
2022/9/15,1563.0975
2022/9/16,1455.637083
2022/9/17,1443.018333
2022/9/18,1420.51
2022/9/19,1332.295
2022/9/20,1354.264583
2022/9/21,1327.57375
2022/9/22,1285.12875
2022/9/23,1314.994583
2022/9/24,1329.802917
2022/9/25,1315.06
2022/9/26,1312.3225
2022/9/27,1361.872137
2022/9/28,1309.751667
2022/9/29,1331.594583
2022/9/30,1337.382917
2022/10/1,1323.12125
2022/10/2,1302.7325
2022/10/3,1303.308965
2022/10/4,1344.817396
2022/10/5,1347.454167
2022/10/6,1363.908333
2022/10/7,1345.236878
2022/10/8,1327.107208
2022/10/9,1319.13375
2022/10/10,1313.5025
2022/10/11,1283.067083
2022/10/12,1295.063767
2022/10/13,1272.21061
2022/10/14,1315.847128
2022/10/15,1287.568302
2022/10/16,1287.76875
2022/10/17,1317.37875
2022/10/18,1321.149583
2022/10/19,1299.5875
2022/10/20,1290.364167
2022/10/21,1289.39625
2022/10/22,1306.264167
2022/10/23,1318.8675
2022/10/24,1345.056667
2022/10/25,1388.52043
2022/10/26,1526.744167
2022/10/27,1550.07878
2022/10/28,1526.202083
2022/10/29,1607.959167
2022/10/30,1603.731667
2022/10/31,1582.4375
2022/11/1,1584.822083
2022/11/2,1561.37625
2022/11/3,1542.7825
2022/11/4,1595.937917
2022/11/5,1641.21875
2022/11/6,1617.28375
2022/11/7,1581.75625
2022/11/8,1461.21125
2022/11/9,1238.536667
2022/11/10,1230.642083
2022/11/11,1270.29215
2022/11/12,1265.138078
2022/11/13,1239.567117
2022/11/14,1229.045391
2022/11/15,1259.6938
2022/11/16,1230.4975
2022/11/17,1206.07125
2022/11/18,1214.256667
2022/11/19,1210.514167
2022/11/20,1193.126667
2022/11/21,1123.622083
2022/11/22,1111.68125
