Date,Gold_price,Price
2021-09-28,1730.0,2909.33267
2021-09-29,1740.0,2890.63932
2021-09-30,1740.0,2995.902883
2021-10-01,1760.0,3169.389906
2021-10-02,1756.6666666666667,3343.434471
2021-10-03,1753.3333333333333,3417.916388
2021-10-04,1750.0,3369.18789
2021-10-05,1750.0,3435.893419
2021-10-06,1760.0,3508.346323
2021-10-07,1760.0,3584.63686
2021-10-08,1770.0,3610.449269
2021-10-09,1766.6666666666667,3590.450876
2021-10-10,1763.3333333333333,3544.894187
2021-10-11,1760.0,3550.484343
2021-10-12,1770.0,3493.024427
2021-10-13,1790.0,3504.167258
2021-10-14,1800.0,3699.840811
2021-10-15,1770.0,3827.065499
2021-10-16,1770.0,3879.12245
2021-10-17,1770.0,3839.434755
2021-10-18,1770.0,3798.410076
2021-10-19,1780.0,3811.803499
2021-10-20,1780.0,3964.405676
2021-10-21,1780.0,4161.00095
2021-10-22,1810.0,4071.263684
2021-10-23,1810.0,4063.987793
2021-10-24,1810.0,4081.558538
2021-10-25,1810.0,4177.614592
2021-10-26,1790.0,4223.309517
2021-10-27,1800.0,4064.278924
2021-10-28,1800.0,4142.224935
2021-10-29,1770.0,4388.226133
2021-10-30,1776.6666666666667,4343.267427
2021-10-31,1783.3333333333333,4290.244939
2021-11-01,1790.0,4313.643563
2021-11-02,1790.0,4442.403989
2021-11-03,1760.0,4591.590358
2021-11-04,1800.0,4550.348898
2021-11-05,1800.0,4515.499394
2021-11-06,1806.6666666666667,4468.308901
2021-11-07,1813.3333333333333,4594.272655
2021-11-08,1820.0,4752.883622
2021-11-09,1830.0,4797.308726
2021-11-10,1860.0,4754.109236
2021-11-11,1860.0,4704.671667
2021-11-12,1860.0,4699.854167
2021-11-13,1860.0,4658.79926
2021-11-14,1860.0,4624.179286
2021-11-15,1860.0,4662.165841
2021-11-16,1860.0,4315.553949
2021-11-17,1860.0,4220.768648
2021-11-18,1860.0,4307.363956
2021-11-19,1860.0,4147.345379
2021-11-20,1846.6666666666667,4343.420417
2021-11-21,1833.3333333333333,4373.093333
2021-11-22,1820.0,4173.456318
2021-11-23,1790.0,4177.918578
2021-11-24,1780.0,4282.929509
2021-11-25,1790.0,4355.316476
