DATE,USER --> DEX,USER --> CEX,Net User,Amount --> DEX,Amount --> CEX,Net Amount ETH,Amount $ --> DEX,Amount $ --> CEX,Net Amount $
2021-04-18 00:00:00.000,-13,12,-1,-270.269652302,280.208198865,9.938546563,-593925.043115715,614997.182546165,21072.13943045
2021-04-19 00:00:00.000,-13,12,-1,-268.788818604,274.409024821,5.620206217,-597664.646261006,609960.180508164,12295.534247158
2021-04-20 00:00:00.000,-12,10,-2,-232.953458262,242.845058677,9.891600416,-501949.223471733,523456.500728605,21507.277256872
2021-04-21 00:00:00.000,-10,9,-1,-700.154878404,137.791948586,-562.362929818,-1620343.34720858,325277.726691716,-1295065.62051687
2021-04-22 00:00:00.000,-10,8,-2,-125.190126623,129.488339395,4.298212771,-309917.367086626,320595.197709435,10677.830622808
2021-04-23 00:00:00.000,-9,9,0,-175.184641262,179.203741722,4.01910046,-397931.936225842,406753.984135816,8822.047909974
2021-04-24 00:00:00.000,-5,5,0,-46.575520822,48.455116723,1.879595901,-106236.082845257,110535.951867273,4299.869022017
2021-04-25 00:00:00.000,-5,5,0,-92.939995477,95.546419356,2.606423879,-210650.008854822,216063.468228826,5413.459374003
2021-04-26 00:00:00.000,-8,6,-2,-76.734134657,80.756061314,4.021926657,-190441.777083878,200422.574237608,9980.79715373
2021-04-27 00:00:00.000,-4,4,0,-66.43313705,67.155155255,0.722018205,-171670.97975711,173271.441233335,1600.461476225
2021-04-28 00:00:00.000,-6,8,2,-74.306635259,77.753842569,3.44720731,-199832.004962476,209248.960846825,9416.955884349
2021-04-29 00:00:00.000,-7,7,0,-99.787045857,102.823577279,3.036531423,-274817.379494624,283246.221529833,8428.842035209
2021-04-30 00:00:00.000,-13,12,-1,-228.111370329,239.333383984,11.222013655,-630732.782700503,661205.652316119,30472.869615616
2021-05-01 00:00:00.000,-7,7,0,-109.498493788,108.947559627,-0.5509341605,-312646.68050362,310875.5837298,-1771.09677382
2021-05-02 00:00:00.000,-9,10,1,-182.683247686,170.57793223,-12.105315456,-535621.989991728,500354.42912501,-35267.560866718
2021-05-03 00:00:00.000,-9,10,1,-118.569860495,142.42452135,23.854660855,-378968.0186559,450237.089220789,71269.070564888
2021-05-04 00:00:00.000,-5,7,2,-78.743006972,82.704951257,3.961944285,-262321.783633919,276785.862470933,14464.078837015
2021-05-05 00:00:00.000,-9,8,-1,-101.498688435,104.779123348,3.280434913,-344049.831862021,354992.536969486,10942.705107465
2021-05-06 00:00:00.000,-7,6,-1,-89.827315633,95.215558153,5.38824252,-313873.928778777,333023.030186379,19149.101407602
2021-05-07 00:00:00.000,-7,4,-3,-56.672987928,52.348423521,-4.324564407,-198033.432055953,182824.232680019,-15209.199375933
2021-05-08 00:00:00.000,-11,10,-1,-180.757642901,172.263728765,-8.493914136,-668826.770224066,637686.076496176,-31140.69372789
2021-05-09 00:00:00.000,-6,6,0,-80.412523863,68.682798403,-11.729725459,-312350.799079826,266358.118219122,-45992.680860705
2021-05-10 00:00:00.000,-10,10,0,-135.130073505,140.405798787,5.275725282,-546799.809558748,568537.940110467,21738.130551719
2021-05-11 00:00:00.000,-7,5,-2,-68.646309937,58.264831009,-10.381478928,-280850.07758802,238872.214169618,-41977.863418402
2021-05-12 00:00:00.000,-9,8,-1,-154.760090909,160.711337991,5.951247082,-636666.388280769,662368.189868328,25701.801587559
2021-05-13 00:00:00.000,-10,10,0,-140.836596282,147.169112604,6.332516322,-554273.691594969,579195.816182078,24922.124587109
2021-05-14 00:00:00.000,-10,7,-3,-149.033251986,149.78655874,0.753306754,-591399.373669262,593330.225267912,1930.85159865
2021-05-15 00:00:00.000,-6,4,-2,-99.554839462,74.782424237,-24.772415225,-394001.528863623,297235.40109914,-96766.127764483
2021-05-16 00:00:00.000,-8,9,1,-86.238994776,88.463845632,2.224850856,-330004.597858121,338640.93753912,8636.339680999
2021-05-17 00:00:00.000,-5,8,3,-115.562108757,118.465241728,2.90313297,-389483.597628973,399268.142804596,9784.545175623
2021-05-18 00:00:00.000,-3,3,0,-20.782759374,22.870962393,2.088203018,-70632.665722515,77701.76043959,7069.094717075
2021-05-19 00:00:00.000,-10,11,1,-101.595144644,114.118850148,12.523705504,-327785.506109454,369701.285375076,41915.779265622
2021-05-20 00:00:00.000,-11,12,1,-135.305021644,138.909807547,3.604785903,-352929.545240234,362263.336787591,9333.791547357
2021-05-21 00:00:00.000,-10,12,2,-144.045679579,146.354187481,2.308507901,-369243.017442932,376856.637908412,7613.62046548
2021-05-22 00:00:00.000,-7,6,-1,-80.304151561,99.119672226,18.815520666,-187389.467388609,231856.050616089,44466.58322748
2021-05-23 00:00:00.000,-9,8,-1,-117.572163485,114.655158988,-2.917004497,-250922.635672075,231675.789438585,-19246.84623349
2021-05-24 00:00:00.000,-5,5,0,-35.501009598,36.057340566,0.5563309676,-86382.142394518,87721.941372072,1339.798977554
2021-05-25 00:00:00.000,-5,5,0,-74.312994109,76.744270796,2.431276687,-195598.92223128,201893.30922721,6294.38699593
2021-05-26 00:00:00.000,-9,7,-2,-83.004360106,84.426186049,1.421825943,-228026.544292116,235071.734198402,7045.189906285
2021-05-27 00:00:00.000,-4,3,-1,-41.54343938,33.581612247,-7.961827132,-114016.983594611,91897.089363473,-22119.894231138
2021-05-28 00:00:00.000,-1,3,2,-8.094040584,15.661427387,7.567386804,-20669.022975171,41641.455094535,20972.432119364
2021-05-29 00:00:00.000,-3,3,0,-34.689162095,35.868506213,1.179344119,-87177.333259842,90141.142964326,2963.809704484
2021-05-30 00:00:00.000,-1,1,0,-6.5,6.911098573,0.4110985731,-15550.930906807,16534.464061595,983.533154788
2021-05-31 00:00:00.000,-2,2,0,-18.728712276,18.393127869,-0.3355844071,-45358.896121226,44526.767057355,-832.129063871
2021-06-01 00:00:00.000,-2,1,-1,-17.802773995,18.517097202,0.7143232074,-47025.186190818,48912.809808366,1887.623617548
2021-06-02 00:00:00.000,-2,2,0,-13.867897496,14.500031149,0.6321336533,-36501.921006849,38152.73855855,1650.817551701
2021-06-03 00:00:00.000,-3,3,0,-28.688479479,29.769270051,1.080790572,-78385.819365437,81338.874253158,2953.054887721
2021-06-04 00:00:00.000,-2,2,0,-17.321535494,18.412844228,1.091308734,-46870.290620616,49801.838381322,2931.547760706
2021-06-05 00:00:00.000,-1,1,0,-12.631578947,13.210771961,0.5791930136,-34982.4,36586.440299479,1604.040299479
2021-06-06 00:00:00.000,-2,1,-1,-20.806451613,21.780531634,0.9740800212,-55041.387096774,57618.21838479,2576.831288016
2021-06-08 00:00:00.000,-2,2,0,-21.571874114,22.869654481,1.297780367,-54515.361667429,57795.047322423,3279.685654994
2021-06-09 00:00:00.000,-1,1,0,-9.777844633,9.386828325,-0.3910163077,-24613.474958134,24361.353946571,-252.121011563
2021-06-12 00:00:00.000,-1,1,0,-8.890985774,11.153728563,2.262742789,-21940.819054148,27524.725199787,5583.906145639
2021-06-14 00:00:00.000,-2,2,0,-23,24.041910458,1.041910458,-55651.49,58172.52780183,2521.03780183
2021-06-15 00:00:00.000,-1,1,0,-10.975609756,11.64086509,0.6652553336,-28348.792682927,30067.074031537,1718.28134861
2021-06-16 00:00:00.000,-4,3,-1,-41.323114634,43.584323987,2.261209353,-101199.746144463,106051.695638872,4851.949494409
2021-06-17 00:00:00.000,-1,1,0,-9.593318262,10.139477639,0.5461593776,-23207.963672343,24529.221515553,1321.25784321
2021-06-20 00:00:00.000,-3,3,0,-44.238723726,44.386236557,0.1475128305,-98527.886724093,98850.846167784,322.959443691
2021-06-22 00:00:00.000,-2,3,1,-16,32.796826247,16.796826247,-30572.19,63213.465231024,32641.275231024
2021-06-23 00:00:00.000,-2,2,0,-33.29178001,34.493995619,1.202215609,-62698.409292923,64962.541949804,2264.132656881
2021-06-24 00:00:00.000,-1,1,0,-12.857142857,14.029828161,1.172685304,-25044.171428571,27328.421678526,2284.250249955
2021-06-27 00:00:00.000,-1,1,0,-15.428571429,15.291381365,-0.137190064,-31053.085714286,30776.963272391,-276.122441895
2021-06-28 00:00:00.000,-1,1,0,-12.5,13.32654642,0.8265464195,-26585.393372691,28343.318308953,1757.924936262
2021-06-29 00:00:00.000,-1,1,0,-10,11.065178416,1.065178416,-21831.2,24156.6123027,2325.4123027
2021-06-30 00:00:00.000,-2,2,0,-16.321428571,16.888386573,0.5669580011,-34349.915357143,35543.129496688,1193.214139545
