DATE,TOTAL_USD_VOLUME_cex,TOTAL_USD_VOLUME_dex
2021/9/7,3956045.016,4222682098.0
2021/9/8,3053048.415,2611579754.0
2021/9/9,2570527.311,1821213917.0
2021/9/10,1338153.29,2250960927.0
2021/9/11,2147031.063,1784884618.0
2021/9/12,1112290.553,2159150208.0
2021/9/13,3225154.333,2162055268.0
2021/9/14,2399291.113,2180559513.0
2021/9/15,927178.0217,1347574540.0
2021/9/16,2669915.164,1471497608.0
2021/9/17,2555173.419,1654566044.0
2021/9/18,1168645.147,1437766521.0
2021/9/19,1009108.668,1051198612.0
2021/9/20,10385078.34,4403309868.0
2021/9/21,1013294.466,3776207447.0
2021/9/22,987701.543,3457245242.0
2021/9/23,971888.2436,1363252583.0
2021/9/24,544731.1742,2758669950.0
2021/9/25,891520.7379,1922785867.0
2021/9/26,1508422.356,1901297771.0
2021/9/27,1250518.452,2625846104.0
2021/9/28,312907.9438,1837649712.0
2021/9/29,724417.351,1746659285.0
2021/9/30,418157.4973,3142579949.0
2021/10/1,1244964.669,1707584695.0
2021/10/2,653357.0637,962246204.8
2021/10/3,593599.4683,1561550265.0
2021/10/4,3909633.441,1402800005.0
2021/10/5,6565980.101,1112727185.0
2021/10/6,4296465.254,2578781164.0
2021/10/7,11846040.1,3004487297.0
2021/10/8,2245985.679,2143615381.0
2021/10/9,1348057.044,1244933011.0
2021/10/10,1176094.155,1824480129.0
2021/10/11,1666760.25,1541596049.0
2021/10/12,5055329.074,2035222613.0
2021/10/13,4720080.71,1605207540.0
2021/10/14,1459655.056,1553087126.0
2021/10/15,1713312.389,2184779959.0
2021/10/16,2191953.232,1737598002.0
2021/10/17,1788356.353,1301582633.0
2021/10/18,1200929.84,1687857309.0
2021/10/19,14650162.09,1609530257.0
2021/10/20,3030643.721,2207885136.0
2021/10/21,8868578.071,3089691952.0
2021/10/22,743682.0944,1656264975.0
2021/10/23,1275901.233,1483255138.0
2021/10/24,1400486.586,1749462749.0
2021/10/25,16269733.13,1754536764.0
2021/10/26,849322.1248,2285685584.0
2021/10/27,3923990.415,2998556265.0
2021/10/28,2966511.35,2709767046.0
2021/10/29,13279758.74,2597320302.0
2021/10/30,1240182.096,2257790401.0
2021/10/31,1564623.646,2324760193.0
2021/11/1,5172472.807,1836865678.0
2021/11/2,1385931.313,2122576654.0
2021/11/3,1824348.618,2089551969.0
2021/11/4,16479072.47,1920778941.0
2021/11/5,5800883.273,1812700630.0
2021/11/6,937307.3345,1605203766.0
2021/11/7,5029251.845,1584877620.0
2021/11/8,5957403.585,1917999336.0
2021/11/9,1602492.38,2053570347.0
2021/11/10,1722079.581,3154235785.0
2021/11/11,923863.4773,2909414249.0
2021/11/12,2797301.911,2463854353.0
2021/11/13,833873.9977,1547338942.0
2021/11/14,536233.3801,1721209352.0
2021/11/15,758399.1058,1904445673.0
2021/11/16,6400485.563,2773002215.0
2021/11/17,12626386.32,2199820330.0
2021/11/18,1469314.571,2833968174.0
2021/11/19,939501.427,1641490781.0
2021/11/20,618054.7001,1612005839.0
2021/11/21,1612875.864,1831535996.0
2021/11/22,3233182.861,2280600205.0
2021/11/23,1229466.872,2203348087.0
2021/11/24,530906.2831,2391462922.0
2021/11/25,1196841.253,2114925165.0
2021/11/26,2191950.884,3138114156.0
2021/11/27,754306.1225,1859810588.0
2021/11/28,1339052.372,2031443531.0
2021/11/29,12177754.84,1890131927.0
2021/11/30,974518.0031,2846695414.0
2021/12/1,1865340.606,2204649996.0
2021/12/2,1305454.2,2201537931.0
2021/12/3,1418440.217,2783084697.0
2021/12/4,3187829.071,3895324262.0
2021/12/5,14407308.47,2473771232.0
2021/12/6,863135.5758,3072694778.0
2021/12/7,602843.2145,2069936658.0
2021/12/8,3753908.012,1670060989.0
2021/12/9,480167.403,2722093186.0
2021/12/10,556238.5545,2727939862.0
2021/12/11,713670.8498,1943374202.0
2021/12/12,377139.7176,1289775313.0
2021/12/13,767440.5622,2257810312.0
2021/12/14,312124.1586,1805525013.0
2021/12/15,436217.255,2581397278.0
2021/12/16,526952.9247,1730239254.0
2021/12/17,13417970.23,2121880318.0
2021/12/18,254597.8249,1536701169.0
2021/12/19,169338.8404,1587670329.0
2021/12/20,1756975.711,1771694822.0
2021/12/21,1606175.629,1460487544.0
2021/12/22,1852737.834,1381064506.0
2021/12/23,13425563.54,1684549770.0
2021/12/24,543975.8269,1440309913.0
2021/12/25,695199.1652,1447474542.0
2021/12/26,121942.7763,1408694474.0
2021/12/27,995082.2947,1328428919.0
2021/12/28,991332.5754,2391931245.0
2021/12/29,754559.843,1511299384.0
2021/12/30,958770.1036,1443175766.0
2021/12/31,397598.203,1482488589.0
2022/1/1,1108087.555,1138150766.0
2022/1/2,650422.8569,1121760398.0
2022/1/3,3274064.599,1247833757.0
2022/1/4,555242.0337,1470239126.0
2022/1/5,16033933.15,1917853661.0
2022/1/6,1591212.134,2006464214.0
2022/1/7,2119895.049,3006292033.0
2022/1/8,2501122.31,2185798264.0
2022/1/9,425862.2718,970974499.6
2022/1/10,5776253.146,2041265096.0
2022/1/11,494671.7533,1451249365.0
2022/1/12,2518903.248,1687206087.0
2022/1/13,847947.5003,1617777973.0
2022/1/14,11045695.89,1423085818.0
2022/1/15,1363620.261,1007271733.0
2022/1/16,876938.8751,1035653750.0
2022/1/17,5072286.69,1616871333.0
2022/1/18,680758.5589,2086088273.0
2022/1/19,698292.9612,1781585291.0
2022/1/20,1041646.702,1957918873.0
2022/1/21,1576120.268,3597938307.0
2022/1/22,11163896.53,2817745604.0
2022/1/23,957980.9882,1682105511.0
2022/1/24,2138185.553,3085435370.0
2022/1/25,9053692.474,1560046962.0
2022/1/26,3378949.868,1957464206.0
2022/1/27,3263230.837,1585401944.0
2022/1/28,11857473.53,1209072916.0
2022/1/29,3057728.956,1116155348.0
2022/1/30,2352616.219,836693102.1
2022/1/31,1064572.212,1019839218.0
2022/2/1,2252723.485,1337247162.0
2022/2/2,800253.7461,1372856031.0
2022/2/3,780634.1174,1203951226.0
2022/2/4,6677921.017,1219223653.0
2022/2/5,11450465.88,1343087115.0
2022/2/6,690933.6189,1117623654.0
2022/2/7,10070158.29,1289941557.0
2022/2/8,1312198.144,1357271603.0
2022/2/9,1108467.758,1317442889.0
2022/2/10,423227008.0,2359221245.0
2022/2/11,3960380.061,1806008670.0
2022/2/12,525169.9689,1202787561.0
2022/2/13,708262.4791,951001075.5
2022/2/14,1688199.982,1188503036.0
2022/2/15,3802938.78,1395860927.0
2022/2/16,257012.2524,1151733215.0
2022/2/17,1202747.457,1635464683.0
2022/2/18,2385860.468,1255899489.0
2022/2/19,4741610.011,831671098.3
2022/2/20,1833671.059,2512408096.0
2022/2/21,10753447.69,1611131031.0
2022/2/22,12412260.83,1163335640.0
2022/2/23,18880654.06,1149527620.0
2022/2/24,21200559.21,3688840675.0
2022/2/25,8544900.228,1672762839.0
2022/2/26,8392647.38,1070933926.0
2022/2/27,27697810.51,1611839513.0
2022/2/28,12704482.44,1808240796.0
2022/3/1,18644364.99,1685004371.0
2022/3/2,11971145.65,1921537268.0
2022/3/3,7167766.447,1073682503.0
2022/3/4,6205154.891,1549876162.0
2022/3/5,1569418.616,917111307.3
2022/3/6,11190070.44,923580891.2
2022/3/7,8697946.985,1304698756.0
2022/3/8,13225415.08,2174169641.0
2022/3/9,5241430.285,1409525722.0
2022/3/10,9291097.394,1240587690.0
2022/3/11,5911940.758,1151389162.0
2022/3/12,872698.6757,1074543330.0
2022/3/13,6559763.273,992090866.9
2022/3/14,3006697.023,1341074232.0
2022/3/15,4531572.53,1178766476.0
2022/3/16,4929013.166,1614965841.0
2022/3/17,5119840.711,1556654849.0
2022/3/18,61433478.3,2064387807.0
2022/3/19,18369411.96,1399556667.0
2022/3/20,18768634.8,1336358849.0
2022/3/21,13406688.1,1331130608.0
2022/3/22,9027079.39,1513175798.0
2022/3/23,25783613.88,1099353988.0
2022/3/24,14857727.88,1419989365.0
2022/3/25,12653999.4,1559489223.0
2022/3/26,9181141.159,1113360160.0
2022/3/27,9619407.35,1322813311.0
2022/3/28,11740492.7,1577658907.0
2022/3/29,5952508.826,1745160275.0
2022/3/30,14918185.25,1544509358.0
2022/3/31,9562354.482,1480808621.0
2022/4/1,1657188.87,1430720135.0
