DATE,INFLOW_USD,OUTFLOW_USD,TOTAL_USD_VOLUME
00:00.0,3071986508,500390.0576,3072486898
00:00.0,3400624591,2719700.421,3403344292
00:00.0,3406535977,3398781.491,3409934759
00:00.0,2555373434,886079.9398,2556259514
00:00.0,3759535289,2332020.513,3761867309
00:00.0,3152864577,791294.0103,3153655871
00:00.0,1416927467,1648949.143,1418576416
00:00.0,1681995822,645258.3629,1682641080
00:00.0,1590372578,3241029.525,1593613608
00:00.0,4221047794,1634304.4,4222682098
00:00.0,2609769081,1810673.118,2611579754
00:00.0,1820184860,1029056.84,1821213917
00:00.0,2247720973,3239954.595,2250960927
00:00.0,1776638691,8245926.948,1784884618
00:00.0,2157880115,1270092.244,2159150208
00:00.0,2160601937,1453331.576,2162055268
00:00.0,2178874623,1684890.043,2180559513
00:00.0,1347069570,504970.2382,1347574540
00:00.0,1468462501,3035106.908,1471497608
00:00.0,1652672096,1893948.024,1654566044
00:00.0,1436990650,775870.3228,1437766521
00:00.0,1050136101,1062510.178,1051198612
00:00.0,4400032897,3276971.276,4403309868
00:00.0,3774759155,1448292.399,3776207447
00:00.0,3454688007,2557234.308,3457245242
00:00.0,1362766687,485896.0955,1363252583
00:00.0,2758264627,405323.0252,2758669950
00:00.0,1922295697,490169.6741,1922785867
00:00.0,1900110939,1186832.306,1901297771
00:00.0,2625527533,318571.4207,2625846104
00:00.0,1837270861,378851.4255,1837649712
00:00.0,1746329155,330129.6008,1746659285
00:00.0,3140022922,2557026.689,3142579949
00:00.0,1707197944,386751.2016,1707584695
00:00.0,961981105,265099.8588,962246204.8
00:00.0,1561088533,461732.404,1561550265
00:00.0,1402114850,685155.19,1402800005
00:00.0,1110746051,1981133.956,1112727185
00:00.0,2576870209,1910955.024,2578781164
00:00.0,3000795916,3691381.554,3004487297
00:00.0,2128112100,15503280.58,2143615381
00:00.0,1202100446,42832564.04,1244933011
00:00.0,1777435915,47044213.32,1824480129
00:00.0,1395445255,146150794,1541596049
00:00.0,1924147725,111074888.2,2035222613
00:00.0,1373217051,231990488.7,1605207540
00:00.0,1528581570,24505556.82,1553087126
00:00.0,2181089531,3690427.716,2184779959
00:00.0,1649536360,88061642.06,1737598002
00:00.0,1300237508,1345125.054,1301582633
00:00.0,1665391617,22465692.06,1687857309
00:00.0,1608153366,1376890.476,1609530257
00:00.0,1811370337,396514798.3,2207885136
00:00.0,2867270864,222421087.4,3089691952
00:00.0,1634231177,22033797.66,1656264975
00:00.0,1481849735,1405402.519,1483255138
00:00.0,1748222770,1239978.421,1749462749
00:00.0,1738215833,16320931.47,1754536764
00:00.0,2280483068,5202516.63,2285685584
00:00.0,2986871407,11684857.92,2998556265
00:00.0,2702478333,7288713.066,2709767046
00:00.0,2589589840,7730461.313,2597320302
00:00.0,2251993522,5796878.619,2257790401
00:00.0,1993741901,331018292.4,2324760193
00:00.0,1775237587,61628091.69,1836865678
00:00.0,2076478191,46098462.33,2122576654
00:00.0,2085532128,4019840.918,2089551969
00:00.0,1917160557,3618384.747,1920778941
00:00.0,1756106696,56593934.69,1812700630
00:00.0,1603292959,1910807.281,1605203766
00:00.0,1581346296,3531324.111,1584877620
00:00.0,1900605036,17394299.33,1917999336
00:00.0,2041332759,12237588.44,2053570347
00:00.0,3124669801,29565983.52,3154235785
00:00.0,2721770904,187643344.8,2909414249
00:00.0,2419857596,43996756.31,2463854353
00:00.0,1544638529,2700413.105,1547338942
00:00.0,1719048428,2160924.533,1721209352
00:00.0,1889501403,14944269.78,1904445673
00:00.0,2770381319,2620896.686,2773002215
00:00.0,2193408821,6411508.715,2199820330
00:00.0,2823506793,10461381.39,2833968174
00:00.0,1639846134,1644646.874,1641490781
00:00.0,1607349232,4656607.518,1612005839
00:00.0,1828901550,2634445.683,1831535996
00:00.0,2278084004,2516200.916,2280600205
00:00.0,2158346031,45002056.18,2203348087
00:00.0,2387095185,4367736.037,2391462922
00:00.0,2112412795,2512369.086,2114925165
00:00.0,3132152443,5961712.463,3138114156
00:00.0,1858717184,1093403.914,1859810588
00:00.0,2029897411,1546120.082,2031443531
00:00.0,1884357004,5774923.447,1890131927
00:00.0,2844868661,1826752.85,2846695414
00:00.0,2200038866,4611130.232,2204649996
00:00.0,2196529297,5008634.097,2201537931
00:00.0,2780011208,3073489.037,2783084697
00:00.0,3888440516,6883746.242,3895324262
00:00.0,2471882124,1889108.396,2473771232
00:00.0,3060363154,12331623.46,3072694778
00:00.0,2065647375,4289282.605,2069936658
00:00.0,1668240297,1820691.994,1670060989
00:00.0,2720521842,1571343.725,2722093186
00:00.0,2727152674,787188.8795,2727939862
00:00.0,1914513284,28860917.56,1943374202
00:00.0,1288420581,1354731.872,1289775313
00:00.0,2256169432,1640879.353,2257810312
00:00.0,1803959687,1565326.019,1805525013
00:00.0,2579910277,1487000.405,2581397278
00:00.0,1728587114,1652139.512,1730239254
00:00.0,2120150106,1730211.802,2121880318
00:00.0,1534169094,2532075.084,1536701169
00:00.0,1586132086,1538243.003,1587670329
00:00.0,1770101082,1593739.986,1771694822
00:00.0,1459062982,1424562.429,1460487544
00:00.0,1377554647,3509858.611,1381064506
00:00.0,1683016302,1533468.042,1684549770
00:00.0,1439089369,1220544.029,1440309913
00:00.0,1446759277,715265.6571,1447474542
00:00.0,1407538571,1155902.782,1408694474
00:00.0,1327335205,1093713.866,1328428919
00:00.0,2390624768,1306477.084,2391931245
00:00.0,1510139788,1159595.73,1511299384
00:00.0,1404744877,38430889.21,1443175766
00:00.0,1480312447,2176141.717,1482488589
00:00.0,1136427960,1722805.25,1138150766
00:00.0,1117677694,4082704.133,1121760398
