DATE,N_TRANSFER,USER,AMOUNT_USD,AMOUNT_ETH,CEX,DEX
00:00.0,26,26,645053.247,263.0744089,coinbase,uniswap
00:00.0,1,1,29848.75506,12.25,coinbase,sushiswap
00:00.0,21,21,534264.2161,220.0421479,coinbase,uniswap
00:00.0,18,18,489684.3829,222.7292744,coinbase,uniswap
00:00.0,2,2,87296.76531,39.94037795,coinbase,sushiswap
00:00.0,1,1,16943.89486,7.6,lcx,uniswap
00:00.0,26,26,596989.6469,268.4888186,coinbase,uniswap
00:00.0,1,1,674.9993966,0.3,lcx,uniswap
00:00.0,1,1,30252.82311,13.57,coinbase,sushiswap
00:00.0,16,16,471696.4004,219.3834583,coinbase,uniswap
00:00.0,1,1,1313943.998,570.3728268,swissborg,dodo
00:00.0,12,12,306399.3497,129.7820516,coinbase,uniswap
00:00.0,11,11,273867.9389,110.7505622,coinbase,uniswap
00:00.0,2,2,36049.42823,14.43956441,coinbase,sushiswap
00:00.0,1,1,2264.471354,1,lcx,uniswap
00:00.0,15,15,395667.4649,174.1846413,coinbase,uniswap
00:00.0,6,6,106236.0828,46.57552082,coinbase,uniswap
00:00.0,1,1,34152.50446,15.375,coinbase,sushiswap
00:00.0,6,6,176497.5044,77.56499548,coinbase,uniswap
00:00.0,3,3,49642.38351,20.07702703,coinbase,sushiswap
00:00.0,5,5,140799.3936,56.65710763,coinbase,uniswap
00:00.0,5,5,171670.9798,66.43313705,coinbase,uniswap
00:00.0,9,9,199832.005,74.30663526,coinbase,uniswap
00:00.0,1,1,33912.89374,12.6617264,coinbase,sushiswap
00:00.0,10,10,240904.4858,87.12531946,coinbase,uniswap
00:00.0,3,3,70736.91637,25.5,coinbase,sushiswap
00:00.0,19,19,559995.8663,202.6113703,coinbase,uniswap
00:00.0,8,8,312646.6805,109.4984938,coinbase,uniswap
00:00.0,3,3,109385.1274,37.425,coinbase,sushiswap
00:00.0,14,14,426236.8626,145.2582477,coinbase,uniswap
00:00.0,3,3,75343.98762,23.93926059,coinbase,sushiswap
00:00.0,11,11,303624.031,94.63059991,coinbase,uniswap
00:00.0,7,7,210296.254,63.74300697,coinbase,uniswap
00:00.0,1,1,52025.52962,15,coinbase,sushiswap
00:00.0,14,14,344049.8319,101.4986884,coinbase,uniswap
00:00.0,9,9,313873.9288,89.82731563,coinbase,uniswap
00:00.0,7,7,198033.4321,56.67298793,coinbase,uniswap
00:00.0,1,1,31627.40459,8.262295082,coinbase,sushiswap
00:00.0,15,15,637199.3656,172.4953478,coinbase,uniswap
00:00.0,8,8,273380.5613,70.45317427,coinbase,uniswap
00:00.0,1,1,38970.2378,9.959349593,coinbase,sushiswap
00:00.0,13,13,507597.7096,125.1300735,coinbase,uniswap
00:00.0,1,1,39202.1,10,coinbase,sushiswap
00:00.0,7,7,257162.5287,62.87472912,coinbase,uniswap
00:00.0,1,1,23687.54884,5.771580817,coinbase,sushiswap
00:00.0,12,12,491568.8796,118.4235692,coinbase,uniswap
00:00.0,2,2,145097.5087,36.33652174,coinbase,sushiswap
00:00.0,4,4,216456.9,55,coinbase,sushiswap
00:00.0,8,8,337816.7916,85.83659628,coinbase,uniswap
00:00.0,14,14,514046.6512,129.4483479,coinbase,uniswap
00:00.0,2,2,77352.72247,19.58490412,coinbase,sushiswap
00:00.0,9,9,394001.5289,99.55483946,coinbase,uniswap
00:00.0,7,7,207475.6765,54.08906095,coinbase,uniswap
00:00.0,3,3,122528.9214,32.14993383,coinbase,sushiswap
00:00.0,2,2,114591.56,34,coinbase,sushiswap
00:00.0,7,7,274892.0376,81.56210876,coinbase,uniswap
00:00.0,3,3,70632.66572,20.78275937,coinbase,uniswap
00:00.0,11,11,277854.7008,86.81261417,coinbase,uniswap
00:00.0,1,1,49930.80534,14.78253047,coinbase,sushiswap
00:00.0,13,13,317575.6646,121.7397989,coinbase,uniswap
00:00.0,2,2,35353.88068,13.56522279,coinbase,sushiswap
00:00.0,2,2,70128.096,27.65,coinbase,sushiswap
00:00.0,10,10,299114.9214,116.3956796,coinbase,uniswap
00:00.0,7,7,187389.4674,80.30415156,coinbase,uniswap
00:00.0,8,8,211037.0107,97.65301227,coinbase,uniswap
00:00.0,3,3,39885.62493,19.91915122,coinbase,sushiswap
00:00.0,4,4,63476.64996,25.65409776,coinbase,uniswap
00:00.0,1,1,22905.49243,9.846911834,coinbase,sushiswap
00:00.0,6,6,195598.9222,74.31299411,coinbase,uniswap
00:00.0,9,9,228026.5443,83.00436011,coinbase,uniswap
00:00.0,4,4,114016.9836,41.54343938,coinbase,uniswap
00:00.0,1,1,20669.02298,8.094040584,coinbase,uniswap
00:00.0,2,2,55763.58326,22.1891621,coinbase,uniswap
00:00.0,1,1,31413.75,12.5,coinbase,sushiswap
00:00.0,1,1,15550.93091,6.5,coinbase,uniswap
00:00.0,1,1,29016.25,12.5,coinbase,sushiswap
00:00.0,1,1,16342.64612,6.228712276,coinbase,uniswap
00:00.0,2,2,47025.18619,17.802774,coinbase,uniswap
00:00.0,2,2,36501.92101,13.8678975,coinbase,uniswap
00:00.0,1,1,39909.15323,14.6063782,coinbase,sushiswap
00:00.0,2,2,38476.66614,14.08210128,coinbase,uniswap
00:00.0,1,1,26236.3,10,coinbase,sushiswap
00:00.0,1,1,20633.99062,7.321535494,coinbase,uniswap
00:00.0,1,1,34982.4,12.63157895,coinbase,sushiswap
00:00.0,2,2,55041.3871,20.80645161,coinbase,uniswap
00:00.0,2,2,54515.36167,21.57187411,coinbase,uniswap
00:00.0,1,1,24613.47496,9.777844633,coinbase,uniswap
00:00.0,1,1,21940.81905,8.890985774,coinbase,uniswap
00:00.0,2,2,55651.49,23,coinbase,uniswap
00:00.0,1,1,28348.79268,10.97560976,coinbase,sushiswap
00:00.0,2,2,20574.65614,8.323114634,coinbase,uniswap
00:00.0,2,2,80625.09,33,coinbase,sushiswap
00:00.0,1,1,23207.96367,9.593318262,coinbase,sushiswap
00:00.0,1,1,31490.47573,14.21197856,coinbase,sushiswap
00:00.0,2,2,67037.41099,30.02674517,coinbase,uniswap
00:00.0,2,2,30572.19,16,coinbase,uniswap
00:00.0,2,2,62698.40929,33.29178001,coinbase,uniswap
00:00.0,1,1,25044.17143,12.85714286,coinbase,sushiswap
00:00.0,1,1,31053.08571,15.42857143,coinbase,sushiswap
00:00.0,1,1,26585.39337,12.5,coinbase,uniswap
00:00.0,1,1,21831.2,10,coinbase,uniswap
00:00.0,2,2,34349.91536,16.32142857,coinbase,uniswap
00:00.0,1,1,30969.64648,14.71528729,coinbase,uniswap
00:00.0,1,1,21045.9,10,coinbase,uniswap
00:00.0,1,1,22.2469,0.01,lcx,uniswap
00:00.0,1,1,13942.08,6,coinbase,sushiswap
00:00.0,3,3,64825.46379,27.82363986,coinbase,uniswap
00:00.0,1,1,34763.87809,15,coinbase,sushiswap
00:00.0,2,2,49053.01376,20.6936323,coinbase,uniswap
00:00.0,2,2,32861.73557,14.25139013,coinbase,uniswap
00:00.0,1,1,30784.91387,14.52463754,coinbase,uniswap
00:00.0,2,2,32075.92185,15.12774402,coinbase,sushiswap
00:00.0,1,1,23115.54956,10.80408202,coinbase,uniswap
00:00.0,2,2,36085.22176,17.08983883,coinbase,uniswap
00:00.0,1,1,15024.75188,7.124753712,coinbase,uniswap
00:00.0,1,1,3092.52,1.5,lcx,uniswap
00:00.0,1,1,20.0726,0.01,lcx,uniswap
00:00.0,2,2,46218.06559,23.34786996,coinbase,uniswap
00:00.0,3,3,41387.04005,21.48469388,coinbase,sushiswap
00:00.0,2,2,26709.45724,13.725,coinbase,uniswap
00:00.0,1,1,22130.68763,11.55794336,coinbase,uniswap
00:00.0,1,1,24779.6087,13.04347826,coinbase,uniswap
00:00.0,1,1,12802.17516,6.715789474,coinbase,uniswap
00:00.0,1,1,25296.0442,13.90503749,coinbase,uniswap
00:00.0,1,1,11857.1258,6.658987206,coinbase,uniswap
00:00.0,2,2,34858.00984,17.29876727,coinbase,uniswap
00:00.0,1,1,14602.35,7,coinbase,uniswap
00:00.0,1,1,2009.362428,0.9957,binance,uniswap
00:00.0,1,1,20841.45422,9.658166569,coinbase,uniswap
00:00.0,1,1,27126.625,12.5,coinbase,uniswap
00:00.0,3,3,58527.97527,25.29164718,coinbase,uniswap
00:00.0,4,4,102360.548,45.70568143,coinbase,uniswap
00:00.0,1,1,21647.69178,9.350812412,coinbase,sushiswap
00:00.0,1,1,18942.78159,8.233521938,coinbase,uniswap
00:00.0,4,4,72072.89514,31.29844546,coinbase,uniswap
00:00.0,1,1,21089.775,8.75,coinbase,uniswap
00:00.0,1,1,14587.75668,5.952485689,coinbase,uniswap
00:00.0,2,2,33110.71929,12.62222222,coinbase,uniswap
00:00.0,2,2,52.7786,0.02,coinbase,shibaswap
00:00.0,1,1,16392.15897,6.211668734,coinbase,uniswap
00:00.0,57,57,1495299.017,566.6308,coinbase,shibaswap
00:00.0,85,85,1960458.458,742.899,coinbase,shibaswap
00:00.0,148,148,4881364.198,1849.7513,coinbase,shibaswap
00:00.0,4,4,109656.611,41.55343682,coinbase,uniswap
00:00.0,95,95,2392858.486,906.7533,coinbase,shibaswap
00:00.0,1,1,35097.769,13.3,coinbase,uniswap
00:00.0,114,114,3285180.172,1120.0588,coinbase,shibaswap
00:00.0,3,3,69462.10939,23.50773898,coinbase,uniswap
00:00.0,31,31,1786851.672,579.922,coinbase,shibaswap
00:00.0,1,1,15623.57382,4.93524678,coinbase,uniswap
00:00.0,2,2,86208.401,27.5469541,coinbase,sushiswap
00:00.0,1,1,38328.68206,12.19994273,coinbase,sushiswap
00:00.0,8,8,214588.8125,69.66744531,coinbase,uniswap
00:00.0,35,35,774380.8703,257.0342,coinbase,shibaswap
00:00.0,42,42,1059431.607,341.3978,coinbase,shibaswap
00:00.0,2,2,47943.78988,14.99837011,coinbase,uniswap
00:00.0,28,28,470514.9459,147.2558,coinbase,shibaswap
00:00.0,2,2,43045.69008,13.28557346,coinbase,uniswap
00:00.0,67,67,1082790.529,350.9272,coinbase,shibaswap
00:00.0,4,4,129378.4734,40.97905404,coinbase,uniswap
00:00.0,17,17,240512.0705,76.661,coinbase,shibaswap
00:00.0,16,16,496157.4343,151.7667,coinbase,shibaswap
00:00.0,1,1,96153.29545,29.21571349,coinbase,sushiswap
00:00.0,5,5,113570.3859,34.95672349,coinbase,uniswap
00:00.0,14,14,380652.6757,116.6419,coinbase,shibaswap
00:00.0,1,1,73568.25,22.5,coinbase,sushiswap
00:00.0,4,4,102952.4744,31.91814363,coinbase,uniswap
00:00.0,47,47,1019888.913,316.22,coinbase,shibaswap
00:00.0,45,45,1157112.368,369.8204,coinbase,shibaswap
00:00.0,1,1,20402.35133,6.402645911,coinbase,sushiswap
00:00.0,3,3,105209.6706,33.34156052,coinbase,uniswap
00:00.0,1,1,26103.55212,8.40528982,coinbase,sushiswap
00:00.0,55,55,835630.5718,274.6979,coinbase,shibaswap
00:00.0,3,3,100765.1135,32.89158335,coinbase,uniswap
00:00.0,1,1,36506.28,12,coinbase,uniswap
00:00.0,2,2,101690.2479,33.8573453,coinbase,sushiswap
00:00.0,15,15,217268.2425,71.8246,coinbase,shibaswap
00:00.0,33,33,415156.3511,129.7257,coinbase,shibaswap
00:00.0,1,1,25063.28654,7.65,coinbase,uniswap
00:00.0,28,28,478419.7183,146.5424,coinbase,shibaswap
00:00.0,15,15,225817.827,70.4436,coinbase,shibaswap
00:00.0,2,2,49622.46357,15.50325888,coinbase,uniswap
00:00.0,1,1,17204.12147,5.174311927,coinbase,sushiswap
00:00.0,4,4,123696.5457,37.05428623,coinbase,uniswap
00:00.0,3,3,55141.6374,16.5844,coinbase,shibaswap
00:00.0,1,1,51280.54255,15.4819,coinbase,shibaswap
00:00.0,6,6,166728.5747,51.38188569,coinbase,uniswap
00:00.0,4,4,106004.1625,33.6508,coinbase,shibaswap
00:00.0,8,8,217814.6863,68.95074581,coinbase,uniswap
00:00.0,11,11,284197.8814,89.1714,coinbase,shibaswap
00:00.0,1,1,62998.59555,19.59496477,coinbase,sushiswap
00:00.0,7,7,208494.4355,65.54259373,coinbase,uniswap
00:00.0,2,2,44198.20205,13.5031795,coinbase,uniswap
00:00.0,11,11,258318.4961,82.4316,coinbase,shibaswap
00:00.0,1,1,38250.41686,11.68604651,coinbase,sushiswap
00:00.0,3,3,84965.79679,26.10619485,coinbase,uniswap
00:00.0,1,1,14970.82495,4.5738,coinbase,shibaswap
00:00.0,4,4,136949.335,42.44079579,coinbase,uniswap
00:00.0,2,2,108877.5335,33.85603448,coinbase,sushiswap
00:00.0,1,1,36600.9537,11.42344733,coinbase,sushiswap
00:00.0,6,6,211108.1655,65.5248637,coinbase,uniswap
00:00.0,3,3,71037.92534,20.92457097,coinbase,uniswap
00:00.0,3,3,63923.80417,19.44198841,coinbase,sushiswap
00:00.0,9,9,301616.6227,83.7223,coinbase,shibaswap
00:00.0,2,2,52881.41084,14.29286796,coinbase,uniswap
00:00.0,2,2,60250.44683,16.24513575,coinbase,sushiswap
00:00.0,2,2,69308.2725,18.375,coinbase,uniswap
00:00.0,5,5,186889.2698,49.5253,coinbase,shibaswap
00:00.0,4,4,154292.6588,39.70553724,coinbase,uniswap
00:00.0,6,6,315900.0425,81.9306,coinbase,shibaswap
00:00.0,1,1,71050.86,18,coinbase,sushiswap
00:00.0,7,7,245123.0853,62.6832,coinbase,shibaswap
