AuthorID,Author,Date,Content,Attachments,Reactions,
6.63105E+17,sonic9082,2021-09-08T09:22:46.2790000-04:00,Joined the server.,,,
4.56227E+17,Deleted User,2021-09-08T09:28:44.6130000-04:00,Am I still in?,,,
4.56227E+17,Deleted User,2021-09-08T09:30:01.4780000-04:00,/verify,,,
6.62233E+17,lenelle,2021-09-08T09:30:06.9350000-04:00,Yes!,,,
4.56227E+17,Deleted User,2021-09-08T09:30:46.0960000-04:00,I already hate discord more than telegram🤪 🤣,,,
6.62233E+17,lenelle,2021-09-08T09:30:49.5490000-04:00,https://tenor.com/view/karolina-machova-i-see-you-seeing-you-i-see-what-you-did-there-see-what-you-did-gif-14563258,,,
6.62233E+17,lenelle,2021-09-08T09:32:21.0830000-04:00,Maybe it will grow on you later 😋 😋 👍 👍,,,
8.81468E+17,gekko_bnb0251,2021-09-08T11:04:24.8410000-04:00,Joined the server.,,,
8.81468E+17,gekko_bnb0251,2021-09-08T11:11:20.7770000-04:00,👋🏼🥳,,,
8.81468E+17,gekko_bnb0251,2021-09-08T11:14:09.7090000-04:00,🤣,,,
4.56227E+17,Deleted User,2021-09-08T11:18:33.1750000-04:00,https://media4.giphy.com/media/3o6ZtrmTtTNM4SK9Rm/200.gif,,,
4.56227E+17,Deleted User,2021-09-08T11:23:44.5470000-04:00,Joined the server.,,,
4.56227E+17,Deleted User,2021-09-08T11:33:19.1990000-04:00,Joined the server.,,,
4.56227E+17,Deleted User,2021-09-08T13:59:58.1280000-04:00,Hello 👋,,,
8.85107E+17,killuabnb,2021-09-08T17:32:22.2940000-04:00,Does the message gets deleted for all or just for me? 😅,,,
6.62233E+17,lenelle,2021-09-08T20:27:51.2930000-04:00,All verified users can see message history. Does it not work for you? 😆,,,
6.62233E+17,lenelle,2021-09-08T20:30:28.4280000-04:00,https://tenor.com/view/hello-%E0%A4%B9%E0%A5%87%E0%A4%B2%E0%A5%8B-%E0%A4%A8%E0%A4%AE%E0%A4%B8%E0%A5%8D%E0%A4%A4%E0%A5%87-%E0%A4%87%E0%A4%82%E0%A4%A6%E0%A5%8D%E0%A4%B0%E0%A4%A7%E0%A4%BE%E0%A4%A8%E0%A5%81%E0%A4%B6%E0%A5%80%E0%A4%B0%E0%A4%82%E0%A4%97-hi-gif-14975079,,,
6.62233E+17,lenelle,2021-09-08T20:58:47.0300000-04:00,"A small but significant milestone. 

A warm welcome and huge thanks to all of our new 8 Discord Angels (Some in Verified User Role) for your support. You guys are the Day 1 early birds 🙂",https://cdn.discordapp.com/attachments/882554401154289667/885328346228084746/Screenshot_2021-09-09_at_08.36.57.png?ex=661735c6&is=6604c0c6&hm=0ec4295b41eb5d792363d5f09942334b9b1575d2d2d17b721e2b6cf965017416&,,
6.62233E+17,lenelle,2021-09-08T21:08:47.3500000-04:00,"For those who are holding on to the ""Verified User"" role, please feel free to explore around. If you want, we can role-play between the user and Angel. ☺️

If you are holding the role of ""Binance Angel"", please check out the Admin section ""moderator-only"" to discover the commands, best practices etc.. List will be updated as needed.",,,
1.59986E+17,MEE6#4876,2021-09-08T21:08:47.8540000-04:00,"GG @Lenelle, you just advanced to level 3!",,,
6.62233E+17,lenelle,2021-09-08T21:12:39.8590000-04:00,Pinned a message.,,,
1.59986E+17,MEE6#4876,2021-09-08T21:43:22.2880000-04:00,,,,
8.84262E+17,crispyk0525,2021-09-08T21:44:03.9070000-04:00,"Finally, I can chat!",,,
8.84262E+17,crispyk0525,2021-09-09T01:12:23.2280000-04:00,Joined the server.,,,
8.85107E+17,killuabnb,2021-09-09T02:22:28.9360000-04:00,I don't know how to 🤔,,,
1.59986E+17,MEE6#4876,2021-09-09T03:54:52.0340000-04:00,,,,
1.59986E+17,MEE6#4876,2021-09-09T03:55:06.7930000-04:00,,,,
8.85436E+17,MEE6,2021-09-09T04:15:01.5230000-04:00,"KYC Myths VS Truths Promotion - $10,000 in BNB to Be Won!

https://www.binance.com/en/support/announcement/611a8fb4286f40ad9824edff17f1116a",,,
6.62233E+17,lenelle,2021-09-09T05:09:45.0830000-04:00,Started a thread.,,,
4.56227E+17,Deleted User,2021-09-09T05:27:39.2360000-04:00,"If you want to give your crypto adventure an extra boost, check here for free education! 😊  https://academy.binance.com/en",,👍 (1),
1.59986E+17,MEE6#4876,2021-09-09T05:45:08.5520000-04:00,,,,
8.84262E+17,crispyk0525,2021-09-09T05:46:41.9960000-04:00,😆,,,
8.85436E+17,MEE6,2021-09-09T08:00:54.1930000-04:00,"KYC Myths VS Truths Promotion - $10,000 in BNB to Be Won!

https://www.binance.com/en/support/announcement/611a8fb4286f40ad9824edff17f1116a",,,
7.06431E+17,jasminezzz9151,2021-09-09T08:17:11.7290000-04:00,Joined the server.,,,
1.59986E+17,MEE6#4876,2021-09-09T08:34:29.8840000-04:00,,,,
1.59986E+17,MEE6#4876,2021-09-09T08:34:58.3010000-04:00,,,,
7.06431E+17,jasminezzz9151,2021-09-09T08:39:13.3210000-04:00,Joined the server.,,,
4.56227E+17,Deleted User,2021-09-09T13:29:04.3200000-04:00,Are we supposed to do something here?,,,
8.85436E+17,MEE6,2021-09-09T20:01:21.9520000-04:00,"KYC Myths VS Truths Promotion - $10,000 in BNB to Be Won!

https://www.binance.com/en/support/announcement/611a8fb4286f40ad9824edff17f1116a",,,
6.62233E+17,lenelle,2021-09-09T21:55:12.1360000-04:00,"Yes Toni, please feel free to refer to the document during the sign up. There are more details there for you.

Please add me as friend as I can't do that to your profile (Block).",,,
7.06431E+17,jasminezzz9151,2021-09-10T00:56:22.4970000-04:00,Joined the server.,,,
4.56227E+17,Deleted User,2021-09-10T02:21:37.9760000-04:00,"Do we have something like a ""word blacklist bot"" here checking user messages?",,,
6.62233E+17,lenelle,2021-09-10T02:22:59.5430000-04:00,"Good day Toni,

We have on the admin panel. It contains generic bad words",,,
4.56227E+17,Deleted User,2021-09-10T02:28:25.8130000-04:00,I'll post the complete blacklist from telegram. Let's see what happens😎,,,
1.59986E+17,MEE6#4876,2021-09-10T02:28:44.1980000-04:00,,,,
6.62233E+17,lenelle,2021-09-10T02:29:50.0520000-04:00,"If you do it for 2 more times, you get muted across all text chat channels",,,
6.62233E+17,lenelle,2021-09-10T02:31:46.9590000-04:00,"Give me a shout if you want to test more, I can reset your infractions.",,,
4.56227E+17,Deleted User,2021-09-10T02:34:24.0920000-04:00,"Is there a difference between verified and non verified users? Verified get muted, not verified get kicked? Or something similar?",,,
6.62233E+17,lenelle,2021-09-10T02:35:58.6220000-04:00,"Non-verified means that they are holding the role of ""everyone"", they can only see ""read-this-first""

They will have to continue to verified their account/Captcha to become ""Verified User"". Else, they cannot use the Discord channel",,,
4.56227E+17,Deleted User,2021-09-10T02:37:43.1180000-04:00,"Twitter link test
https://twitter.com/cz_binance?t=wOwpfQbstRBP73nVemX2ZA&s=09

https://twitter.com/Toni_bnb?t=wOwpfQbstRBP73nVemX2ZA&s=09",,,
1.59986E+17,MEE6#4876,2021-09-10T02:39:37.7980000-04:00,,,,
8.85107E+17,killuabnb,2021-09-10T02:41:44.1470000-04:00,😂,,,
6.62233E+17,lenelle,2021-09-10T02:41:58.1010000-04:00,https://tenor.com/view/fuckyeah-yeah-ya-yes-yup-gif-5820940,,,
6.62233E+17,lenelle,2021-09-10T02:42:35.2490000-04:00,Thanks Toni for helping to test and double-check Discord.,,,
6.62233E+17,lenelle,2021-09-10T02:43:49.1680000-04:00,"@killuabnb and @Deleted User , Please let me know if you want to change role to ""Binance Angel""",,,
4.56227E+17,Deleted User,2021-09-10T02:44:06.2540000-04:00,How to post a screenshot?,,,
6.62233E+17,lenelle,2021-09-10T02:44:48.3420000-04:00,"For Verified Users, posting screen shots or images are prohibited",,,
4.56227E+17,Deleted User,2021-09-10T02:45:15.7860000-04:00,Naa🤪 Need to get a hang on first,,,
6.62233E+17,lenelle,2021-09-10T02:45:23.9110000-04:00,You can post Screen shots as Angel,,,
6.62233E+17,lenelle,2021-09-10T02:45:29.5600000-04:00,That is within your rights 🙂,,,
1.59986E+17,MEE6#4876,2021-09-10T02:46:47.8150000-04:00,,,,
6.62233E+17,lenelle,2021-09-10T02:47:21.0010000-04:00,Here are your infraction stats Toni,,,
6.62233E+17,lenelle,2021-09-10T02:47:42.7840000-04:00,You are now muted,,,
6.62233E+17,lenelle,2021-09-10T02:48:40.4320000-04:00,"Feel free to check around all the text channel to verified that you are muted indeed.

I will  remove your mute in 1 minute",,,
6.62233E+17,lenelle,2021-09-10T02:50:22.4430000-04:00,"@Deleted User I have unmute you, will clear all of your infractions here",,,
8.85107E+17,killuabnb,2021-09-10T02:50:38.0600000-04:00,Sure 👌🏻,,,
4.56227E+17,Deleted User,2021-09-10T02:52:02.8360000-04:00,Thanks. It seemed that i was able to post something in tutorial-videos. But my msg got deleted. In all other channels I was muted,,,
6.62233E+17,lenelle,2021-09-10T02:52:31.4600000-04:00,Thanks for the feedback. Let me check,,,
7.06431E+17,jasminezzz9151,2021-09-10T02:52:33.6390000-04:00,Joined the server.,,,
4.56227E+17,Deleted User,2021-09-10T02:53:14.9440000-04:00,Hi,,,
1.59986E+17,MEE6#4876,2021-09-10T02:53:21.3520000-04:00,,,,
1.59986E+17,MEE6#4876,2021-09-10T02:53:22.3420000-04:00,,,,
4.56227E+17,Deleted User,2021-09-10T02:53:31.2840000-04:00,Hi,,,
7.06431E+17,jasminezzz9151,2021-09-10T02:53:35.6550000-04:00,Joined the server.,,,
4.56227E+17,Deleted User,2021-09-10T02:53:48.9930000-04:00,Hi,,,
4.56227E+17,Deleted User,2021-09-10T02:54:05.5810000-04:00,Hi,,,
4.56227E+17,Deleted User,2021-09-10T02:54:22.0930000-04:00,Hi,,,
4.56227E+17,Deleted User,2021-09-10T02:54:42.7300000-04:00,Hi,,,
6.62233E+17,lenelle,2021-09-10T02:54:43.4440000-04:00,Chat will go slow-mode for you. Can chat once every 15 secs,,,
4.56227E+17,Deleted User,2021-09-10T02:55:01.3090000-04:00,It is already,,,
4.56227E+17,Deleted User,2021-09-10T02:55:33.4240000-04:00,Waiting for a autokick cause of duplicates🙂,,,
6.62233E+17,lenelle,2021-09-10T02:55:49.4100000-04:00,"You won't get kick, its not set this way.",,,
4.56227E+17,Deleted User,2021-09-10T02:56:42.2510000-04:00,Same for gifs?,,,
1.59986E+17,MEE6#4876,2021-09-10T02:58:59.3130000-04:00,,,,
4.56227E+17,Deleted User,2021-09-10T02:59:30.9280000-04:00,"@Lenelle 
Btw. Tried this captcha thing again. 
The error msg was something like ""you're not sharing the same server"".",,,
6.62233E+17,lenelle,2021-09-10T03:00:46.1710000-04:00,"Hmm... Since you are already verified user, is there a need to do Captcha again?",,,
4.56227E+17,Deleted User,2021-09-10T03:01:21.7520000-04:00,I think not. But I wanted to see it by myself,,😆 (1),
4.56227E+17,Deleted User,2021-09-10T03:03:55.2760000-04:00,"What is a ""server booster""?",,,
1.59986E+17,MEE6#4876,2021-09-10T03:05:10.8610000-04:00,,,,
6.62233E+17,lenelle,2021-09-10T03:17:13.4060000-04:00,"Its a premium perk. Read all about it here:

https://support.discord.com/hc/en-us/articles/360028038352-Server-Boosting-FAQ-",,,
4.56227E+17,Deleted User,2021-09-10T03:19:40.7880000-04:00,Which format have the admin commands? Is it like in telegram /command? Or are you only clicking on some options in the menus?,,,
4.56227E+17,Deleted User,2021-09-10T03:19:59.5220000-04:00,/command,,,
